what songs does katherine jenkins sing	2
what character did natalie portman play in star wars	4
who is president of pakistan 2012	4
where does the oklahoma city thunder practice	0
what was jesse james wife name	4
in what modern country is the yucatan peninsula located	1
when was gardasil released to the public	2
who plays effy in skins uk	4
when richard nixon was president	4
what team does derek fisher play for 2012	2
where donald trump went to college	3
where do you fly into for destin	3
who was the first wife of prophet muhammad	4
what is the name of dawn french 's first novel	1
where did madoff live	2
where did kobe bryant attend high school	3
where do audi come from	2
which country has adopted the euro as its currency ( 1 point )	1
where did president kennedy go to school	2
where did buzz williams go to college	3
where did pauley perrette go to college	3
where did david duke go to college	3
where do most chinese live	1
where did hurricane irene	0
when did kings last win stanley cup	1
what to see in chicago downtown	1
what is south america made up of	1
where did william howard taft go to high school	3
who does nikki reed play in the movie twilight	4
what drugs were in whitney houston when she died	1
what club team is diego forlan on	2
what movies did angelina jolie star in	2
when did mcgee start on ncis	3
what has lucy hale played in	2
what are eu countries	2
who tom cruise been married to	4
where did paul ryan live	2
who did rufus wainwright married	4
what season did jason priestley leave 90210	4
who is the falcons quarterback 2012	4
what money is used in england	0
who did george wendt play on cheers	4
who was lincoln 's vice president when he died	1
who are betty white 's husbands	4
where did william howard taft go to high school	3
what do michelle obama do for a living	0
where did jane mansfield die	0
what countries share borders with france	3
where is washington d.c. at	1
who is the owner of the philadelphia eagles	4
who did heinrich himmler marry	4
what team did ronaldo play for	4
who played lois en superman	4
who is the voice of stewie griffin from family guy	4
which states touch canadian soil	3
who was king or queen after victoria	1
where did c.s. lewis go to college	3
what 3 states border the pacific ocean	3
who was the voice of nemo 's dad	4
what type of political system does iran have	0
who were michael jackson 's brothers and sisters	2
who does danneel harris play on one tree hill	4
what does shawn johnson do	0
who won 2001 fa cup	4
who played lois en superman	4
who the voice of lois griffin	4
what year did yankees win their first world series	1
who played lt uhura	2
who plays bella on twilight	4
what a city in montana	1
who did elton john marry first	4
what movies does ryan gosling star in	2
who voices ray in archer	4
where did jack johnson go to high school	3
what office does hillary clinton hold	2
what are the main imports and exports of afghanistan	2
what is the official language in china	0
what state did henry clay represent	3
what teams are left in the nfl	2
what college did lil wayne graduated from	3
what highschool did khloe kardashian go to	3
what countries did queen victoria rule	2
what the currency in argentina	0
who did kat graham play in parent trap	4
what was jack london 's education	2
what films have taylor lautner been in	2
what highschool did khloe kardashian go to	3
who was darth vader in episode 3	4
who is the voice of lois from family guy	4
who was charles darwin married to	4
what religion did the ottoman turks follow	2
who is the senator of the united states 2010	4
what happened at fukushima daiichi nuclear plant	2
what states does the connecticut river flow through	1
who is the governor of colorado 2009	4
who did george wendt play on cheers	4
which countries share land border with vietnam	3
who is the senator of the state of texas	4
what children 's books did suzanne collins wrote	1
who played luke skywalker in star wars episode 4	4
which wife did king henry behead	3
where did trey songz go to high school	3
where is the sistine chapel by michelangelo	1
what year did edgar allan poe go to college	3
who nominated stephen g. breyer	2
what state was hillary clinton a senator for	4
where to fly in for galapagos islands	0
what college did edgar allan poe go to	3
what kind of cancer did bob marley died from	1
what college did matt lauer attend	3
what was walt disney 's first cartoon called	1
what prep school did romney attend	3
who is andy williams brother	3
what is language in argentina	0
what is the philadelphia church of god	0
where did brad paisley graduate from college	3
who was married to lance armstrong	4
what high school did president bill clinton attend	3
when was the last dallas cowboys super bowl win	1
what continent is greenland apart of	1
who plays edward elric	2
where did elvis presley live before he died	2
where did matthias schleiden go to school	2
where did pixie lott go to school	2
which wife did king henry behead	3
where do houston aeros play	1
what are countries in south asia	1
where did lebron james go to highschool	2
which ocean does the murray river flow into	1
what university did barack obama attend	3
where did pixie lott go to school	2
what boudicca do	0
what was lincoln 's wife 's name	3
where does jason statham live	2
what other cars does gm make	1
who is reba mcentire 's son	1
who speaks stewie on family guy	4
who is the state senator of kentucky	4
where did michael jordan play high school basketball	3
what was the name of tecumseh brother	3
who plays tommy oliver in power rangers	4
who do nate robinson play for	2
what team did shaq play for first	4
who is andy williams brother	3
in which province is johannesburg	1
where did robert hooke get his education	2
what position does rafael furcal play	0
what club does ronaldinho play for 2012	2
what instrument does justin bieber	2
what city was nelson mandela born in	1
who plays walter in fringe	4
what state did woodrow wilson represent	3
what is gibby 's mom 's name	1
what countries fall in eastern europe	1
what is the very first harry potter book	1
what college did lee corso attend	3
what currency should i take to jamaica	0
what are the name of mitt romney sons	1
who plays nathan scott	2
what college did harry s. truman attend	3
what team does luis suarez play for	2
who was lincoln 's vice president when he died	1
what time zone is new england usa in	0
what countries are around egypt	3
what is the rainforest in peru called	1
where did sergio romo go to college	3
what did harriet beecher stowe do as an abolitionist	0
who plays shao kahn	2
who is playing bilbo in the hobbit movie	4
where is spanish springs nv	1
where did lauren conrad live	2
when was the last time the oakland raiders won the super bowl	1
what college did kerry collins	3
what year was the cubs last world series	1
what college did lil wayne graduated from	3
where did william howard taft go to high school	3
what party was andrew jackson	2
what money does jamaica use	0
where is mount jefferson located	0
when was the last time iran invaded another country	2
who is the speaker of the house of representatives currently	4
who did alf 's voice	4
what country is the iberian peninsula located in	3
who is julia roberts married to 2012	4
who portrayed indiana jones in raiders of the lost ark	4
what is tulane university 's mascot	0
what is cher 's son 's name	1
what awards has morgan freeman won	2
what college did lil wayne graduated from	4
what movies have robert pattinson starred in	2
what is the name of dawn french 's first novel	1
who is the falcons kicker	4
who played eowyn in the lord of the rings movies	2
what 5 countries border ethiopia	3
where is isthmus of panama located	0
what did robert koch do	0
what language did ancient romans write in	0
which states share borders with virginia	3
where is devon sawa now	2
where did joe namath live	2
who played michael myers in halloween 4	4
what state did dwight d. eisenhower live in	3
in what country is amsterdam	0
what 4 states border the pacific ocean	3
where did pauley perrette go to college	3
what team did ronaldo play for	4
what is the very first harry potter book	1
who does paul walker play in fast and furious	4
what airport is in kauai hawaii	1
which airport is closest to the city of chicago	1
what was walt disney 's first cartoon called	1
what college did russell wilson go to	3
who is the house of representatives made up of	2
which states touch canadian soil	3
what character did john noble play in lord of the rings	4
what kind of paintings did frida kahlo do	0
where is santa clara university	0
what currency is used in hungary	0
where did bashar al assad study	2
what did copernicus invented	0
where did martin luther king went to school	2
what year did yankees win their first world series	1
who won london mayoral elections 2012	2
what did anna nicole smith died from	0
what show does tamera mowry play on	2
who played marty mcfly 's dad	1
who is lamar odom playing for in 2012	2
what professional baseball team did michael jordan play for	3
when did the lakers win the championship	0
who does the voice of lois in family guy	4
what ship did sir francis drake travel on	2
where did joe namath attend college	3
which airport is closest to the city of chicago	1
who did paul jr marry	4
what football teams did emmitt smith play for	2
who was judy collins married to	4
where does hector camacho live	2
what continent is greenland apart of	1
which island in greece	1
where did kate middleton go to prep school	3
who does malcom floyd play for	2
who did etta james marry	4
who plays sarah wittle in jumanji	4
who played jacob black	2
what date did the san francisco giants win the world series	1
what is the name of the main train station in san francisco	4
what are five countries that border france	3
where did william mckinley go to high school	3
who does joakim noah play for	2
who is president of pakistan 2012	4
what primary school did sir isaac newton go to	3
who was charlemagne 's wife	4
where did bob dylan live	2
what countries are in the caribbean	1
who the voice of jack skellington	4
what airport is closest to ithaca ny	0
which countries are part of the united kingdom	1
where did brad paisley graduate from college	3
what countries fall in eastern europe	1
what college did lil wayne graduated from	3
what college did michael jordan play basketball for	3
who was married to lance armstrong	4
what label is jojo signed to	0
what college did lil wayne graduated from	3
what channel does anderson cooper come on	3
which college did barack obama attend	3
who did michael vick play for in 2008	2
who was arthur miller father	1
what colony is john adams from	3
what is the biggest country in europe by population	1
what state did dwight d. eisenhower live in	3
what college did lil wayne graduated from	3
what movies has michael clarke duncan been in	2
who is steve nash married to	4
who was ishmael 's mom	1
what type of guitar does kirk hammett play	1
what to see and do in galway ireland	0
which countries are part of the united kingdom	1
when was the last superbowl win for the steelers	1
what college did ron jaworski go to	3
where did lee corso go to college	3
where did sir ernest shackleton live	2
where does fabio aurelio play	2
what did george steinbrenner do	0
where does liz mcclarnon live	2
where did michael jordan play high school basketball	3
who makes lois griffin voice	4
what airport does southwest fly to in denver	3
what cancer did audrey hepburn died of	1
who all has steve nash played for	2
what is the currency in the republic of congo	0
what school did michael jackson attend	2
where did phil mickelson go to college	3
who won 2001 fa cup	4
what city was nelson mandela born in	1
where is universal studios california theme park	1
where does dr. sanjay gupta practice	3
where does eddie bravo teach	2
what major airport is near destin florida	1
who is the ravens coach	0
who played giles on buffy the vampire slayer	4
when did kings last win stanley cup	1
what car models does gm make	1
who is the president of cuba in 2009	4
what college did ron jaworski go to	3
where did kate middleton go to prep school	3
what is brazil time zone	0
what continent is australia in	1
what team rasheed wallace	2
where did deion sanders play baseball	3
what high school did tim allen go to	3
what country is the mekong river located in	0
which airport to fly in rome	3
where is mark sanchez now	2
when did ny giants win the superbowl	1
what is in liverpool england	0
what movies has michael clarke duncan been in	2
where the seneca indians lived	0
what is father name of salman khan	1
what country is next to russia	3
what state did henry clay represent	3
which countries does russia border	3
when did tom brady join the patriots	4
who was audrey hepburn 's husbands	3
who plays claire in lost	4
when is the last time the raiders won a championship	1
who won 2011 heisman trophy	2
what language do you speak in austria	0
who was rosemary clooney married to	4
who did johnny bench play for	2
how much mlb teams are there	2
what movie is josh hutcherson in	2
who voice acts peter griffin	4
what is father name of salman khan	1
where do you fly into for destin	3
which wife did king henry behead	3
where did dr seuss go to school	2
who does paul wesley play in 24	4
where did robbie hummel go to high school	3
who does ryan newman race for	2
what city did obama grow up in	1
who are the two current illinois senators	4
what prep school did romney attend	3
who plays jacob black in twilight	4
who plays ray barone	2
what are west african countries	1
where did charles drew go to college	3
who plays spike in buffy the vampire slayer	2
what party was lincoln affiliated with	2
where did deion sanders play baseball	3
where did jack johnson go to high school	3
when is the last time the raiders won a championship	1
what countries are in the baltic region	1
what office does boehner hold	2
where did the tutsi come from	0
what country is russia close to	3
which states does the mississippi river pass through	1
what position did george washington serve in the constitutional convention	4
what state did al gore represent	3
which province is calgary canada in	0
who plays lois in family guy	4
who started the federal reserve board	0
who will play clary in city of bones	4
what was the name of frederick douglass book	1
what is the jurisdiction of the us supreme court	0
where did david duke go to college	3
where did dr seuss go to school	2
what do mali people speak	0
where did jack johnson go to high school	3
what college did matt lauer attend	3
where did lebron james go to highschool	2
where does dr. sanjay gupta practice	3
what three countries does mexico border	3
who played luke skywalker in star wars episode 4	4
what sort of government does brazil have	0
what states does the connecticut river flow through	1
what is the president of brazil	4
what timezone is new england usa in	0
what are romney 's sons names	1
who does cristiano ronaldo play for 2012	2
what highschool did bill gates graduated from	3
who played luke skywalker in star wars episode 4	4
who will michael schumacher drive for in 2013	2
where is bergen belsen concentration camp located	0
what years have the dodgers won the world series	0
who played betty rizzo in grease	4
where did will smith go to high school	3
which college did barack obama attend	3
who is robert downey jr wife	3
where did michael jordan play high school basketball	3
who played elaine 's boyfriend on seinfeld	2
what country surrounds spain	3
who is the governor of oregon 2012	4
what party was woodrow wilson from	2
who plays claudia joy on army wives	4
who does avril lavigne play in over the hedge	4
what college did michael jordan play basketball for	3
where do most chinese live	1
what type of cancer did patrick swayze die from	1
what 4 countries make up great britain	1
who played cruella deville in 102 dalmatians	4
who does debbie dingle go out with	2
what is jill wagner on wipeout	4
what movies has halle berry starred in	2
what countries does britain own	1
what county is heathrow airport in	1
what is wrong with robin roberts	0
what are the zoroastrian scriptures called	1
on which river is paris	1
where is the mtv headquarters	2
what university did barack obama attend	3
where did madoff live in nyc	3
what 5 countries border romania	3
what did writers of the harlem renaissance write about	1
what region is thailand located in	1
who is the prime minister of ethiopia	4
what did ronnie radke do	0
what type of cancer did huell howser die of	1
who is golfer dustin johnson dating	4
in which city was president kennedy killed	1
what was elie wiesel 's father 's name	1
what college chris paul go to	3
who plays steffy on bold and the beautiful	4
what state did woodrow wilson represent	3
what team did john madden play football for	2
what team does luis suarez play for	2
what was eli whitney job	0
where is the olympic national park located	0
what language do the speak in pakistan	0
what college did drew bledsoe	3
what language people speak in afghanistan	0
which states share borders with virginia	3
who was the original voice of meg on family guy	4
what kind of government did benito mussolini have	2
what teams did charles barkley	2
where did jerry spinelli go to college	3
what has lucy hale played in	2
who plays paul blart	4
what does beth tweddle compete in	2
what do abrahamic religions have in common	0
where do most chinese live	1
what did chadwick identify	2
what college did jeff corwin go to	3
who was elected president of the philippines	4
what is colorado 's state flower	4
where does hudson river start	0
when did tom brady join the patriots	4
what are countries in south asia	1
what nestle owns	0
which countries border the baltic sea	3
what are romney 's sons names	1
what are the 2 conferences in the nfl	3
what city was nelson mandela born in	1
where did madoff live in nyc	3
what college did magic johnson go to	3
what year did spudd webb won the dunk contest	4
what year did baltimore ravens win the superbowl	1
what state did dwight d. eisenhower live in	3
how many teams are there in the ncaa football	3
what super bowls have the giants won	1
what state did woodrow wilson represent	3
what characters does seth macfarlane voice	4
when was george w bush sworn in	1
where ulysses s grant go to school	2
who did mario lopez just marry	4
who plays kenneth on 30 rock	4
who played dorothy in the film wizard of oz	4
what guitar did clapton play	0
who were michael jackson 's brothers and sisters	2
where does the atlanta braves play	0
who is the leader of france 2012	4
what countries share borders with france	3
where did william mckinley go to high school	3
who was reese witherspoon married too	4
what time zone is anaheim ca	0
where was joe biden a senator	4
what college did michael jordan play basketball for	3
where is sony ericsson based	2
who does brandon jacobs play for	2
who did michael jordan marry	4
who plays shao kahn	2
who played michael myers in halloween 4	4
what state is harvard college located	1
what movies have queen latifah played in	2
what college did lee corso attend	3
where do houston aeros play	1
what college did jeff corwin go to	3
what did farrah have surgery for	0
which countries do germany border	3
what airport does southwest fly to in denver	3
who plays john connor in terminator salvation	4
what year did edgar allan poe go to college	3
what 5 countries border romania	3
what kind of cancer killed larry hagman have	1
what did lbj die of	0
what is jill wagner on wipeout	4
where did c.s. lewis go to college	3
who is mexico 's president right now 2011	4
who does cristiano ronaldo play for in 2010	2
who plays faramir in lord of the rings	4
where is luke afb arizona	2
what airport fly into miami	3
what kind of guitar does jemaine clement play	1
how many teams are there in the ncaa football	3
who voiced darth vader in revenge of the sith	4
what is south america made up of	1
what does kat dennings star in	2
who has britney spears married	4
what are the names of walt disney kids	0
where is abraham lincoln hometown	0
who is the prime minister of new zealand now	4
where is the main headquarters of the un	2
what team does kareem abdul jabbar play for	2
where did roger moore live	2
where did queen isabella live	0
who was mary 's mother	1
when did the colts last win the superbowl	1
who was king george v father	1
what are the mountains in peru called	3
what are the 2 conferences in the nfl	3
where did andrew young go to school	3
who did tupac shakur date	2
which states does the mississippi river pass through	1
who plays stewie griffin 's voice family guy	4
what year did the houston rockets win their first championship	1
who is the leader of japan	4
who is raquel welch 's daughter	1
who did warren moon play for	2
what city became the capital of the assyrian empire	0
what state was hillary clinton a senator for	4
what does the name rome mean	0
what was abe lincoln 's wife name	4
where does mike leach coach	0
who plays jacob black in the twilight movies	4
what college did lee corso attend	3
what are the major imports of the united states	2
who was betty white married too	4
which states does the mississippi river pass through	1
what continent is australia in	1
what airport is in kauai hawaii	1
who is the voice of lois from family guy	4
what 3 countries does mexico border	3
who plays jacob black in twilight	4
where do most of the people live in japan	1
what are the 2 conferences in the nfl	3
what was omar epps first movie	3
what is pennsylvania 's state flower called	4
what airport do you fly into maui	1
what college did steve jobs attend	3
who are the judges on the us supreme court	2
where did the battle of new orleans start	0
what does nick cannon play in	2
when was gardasil released to the public	2
what team does derek fisher play for 2012	2
what is mexico city time zone	0
what team did mike piazza retire with	4
who plays princess padme in star wars	2
what college did matt schaub play for	3
where did phil mickelson go to college	3
who are the two current illinois senators	4
who is angelina jolie 's husband	4
what 4 teams did wayne gretzky play for	2
what was one thing benjamin franklin is famous for	0
what book did john steinbeck wrote about the people in the dust bowl	1
where do you fly into for destin	3
what is the houston rockets mascot	0
what are some of the religions in australia	2
what countries fall in eastern europe	1
what countries does armenia border	3
what language they speak in taiwan	0
what did sammy davis jr die of	0
what characters does seth macfarlane voice	4
what character did john noble play in lord of the rings	4
which island in greece	1
what primary school did sir isaac newton go to	3
what college did harry s. truman attend	3
what school did sergio romo go to	2
who the voice of jack skellington	4
where does leland chapman live now	2
what country did osama bin laden live in	2
where does eddie bravo teach	2
who is andy williams brother	3
where is the head office of hsbc bank	2
who has tim howard played for	2
who is raquel welch 's daughter	1
what religion does tom cruise follow	2
what team did deion sanders play for in baseball	3
where did elvis presley started his career	0
what college did russell wilson go to	3
what airport does southwest fly to in denver	3
where did madoff live in nyc	3
where did charles drew go to college	3
what highschool did bill gates graduated from	3
who is sherri shepherd 's new husband	4
what years have the dallas cowboys won the superbowl	0
who played maxie jones on general hospital	4
where did trey songz go to high school	3
where do you fly into for destin	3
who is the president of cuba in 2009	4
where did cutler jay go to college	2
where did nick clegg go to prep school	3
what team did tim tebow play for in college	3
who plays lois lane in superman returns	4
what primary school did sir isaac newton go to	3
what year did edgar allan poe go to college	3
where did barack obama attend school	2
what is gibby 's mom 's name	1
who played juni in spy kids 4	4
what 5 countries border ethiopia	3
what films did liam neeson star in	2
where did president eisenhower go to college	3
what ship did sir francis drake travel on	2
who does hank baskett play for now nov 2010	2
when was george w bush sworn in	1
what are shirley temple kids names	0
what airport is closest to downtown toronto	4
who plays the voice of lois griffin	4
who was arthur miller father	1
which airport is closest to barcelona port	0
what state did thomas jefferson live in	3
who did lamar odom sign with	4
what countries include western europe	1
who is the governor of oregon 2012	4
what city has the largest population in mexico	1
who plays stewie griffin on family guy	4
where did william mckinley go to high school	3
what countries does armenia border	3
what state did thomas jefferson live in	3
where did richard nixon go to high school	3
when did the boston celtics win their first championship	1
who did mario lopez just marry	4
where did sergio romo go to college	3
what are the four official languages of nigeria	0
who played marty mcfly 's dad	1
what state was hillary clinton a senator for	4
what does donald trump own	2
who founded collegehumor	0
which wife did king henry behead	3
what countries does the mississippi river run through	1
what colony is john adams from	3
what city did obama grow up in	1
where is the university of oregon state	2
what team did doug williams play for	2
what highschool did khloe kardashian go to	3
what countries are included in the netherlands	1
what college did magic johnson go to	3
what teams did jim harbaugh play for	2
who was arthur miller father	1
what movie is josh hutcherson in	2
what state did al gore represent	3
who is garrett pretty little liars	4
what is the name of justin bieber brother	3
what was omar epps first movie	3
who is the 2011 heisman trophy winner	2
where did william mckinley go to high school	3
where did richard nixon go to high school	3
what countries in north america continent	0
what was the name of frederick douglass book	1
what to see in washington dc in 2 days	0
what challenges did helen keller have to face	2
what college did magic johnson go to	3
where was kennedy when he got shot	0
what did chadwick identify	2
what job does bill rancic have	0
what country is the iberian peninsula located in	3
where did michael jackson went to school	2
what was the title of the first book dr. seuss wrote	1
what was alexander graham bell known for	0
who does zach galifianakis play in the hangover	4
what middle school did barack obama attend	3
who was queen elizabeth the first 's mother	1
what voice does hank azaria do on the simpsons	4
who does sonny bill williams play for 2012	2
what college did matt schaub play for	3
what 6 states border south dakota	3
what country is beside france	3
when did mcgee start on ncis	3
which three countries share a land border with cambodia	3
which countries do germany border	3
who does new zealand import from	2
what did shawnee smith play in	2
what team does hank baskett play for 2011 season	2
when was the last time the san francisco giants won a world series	1
what are the four nations of the uk	1
where is port st lucie florida on the map	0
what four countries are in the united kingdom	1
who is the head coach of the tennessee titans	0
who is queen elizabeth 1 father	1
what states does the missouri river touch	1
which island in greece	1
where did brian williams go to college	3
what influenced langston hughes to write	0
what movies did zoe saldana play in	2
which airport is closest to the city of chicago	1
what college did jerry rice attend	3
what university did donald trump graduate from	4
what college did james franco go to	3
who plays the voice of kovu	4
who is the speaker of the house of representatives currently	4
who is the new senator of montana	4
which wife did king henry behead	3
who was ishmael 's mom	1
where did pauley perrette go to college	3
who is the new senator of montana	4
when did mcgee start on ncis	3
where did barack obama went to school	2
what year was peyton manning 's rookie year	2
what was walt disney 's first cartoon called	1
who miley cyrus engaged to	4
what groups was hitler involved in	2
who plays lynette on desperate housewives	4
who did the baltimore ravens draft in 2011	4
where does honda play soccer	2
what team did deion sanders play for in baseball	3
which countries are part of the united kingdom	1
where is sony ericsson based	2
what team did tim tebow play for in college	3
in which country is mount everest found	1
what are the 2 conferences in the nfl	3
what country is the iberian peninsula located in	3
who is martin luther king jr wife	4
what children 's books did suzanne collins wrote	1
where did brad paisley graduate from college	3
what inspired scott fitzgerald	0
what airport is closest to downtown toronto	4
what state did romney governor	4
who played bernie focker	2
who plays tommy oliver in power rangers	4
what type of guitar does kirk hammett play	1
what countries does the mississippi river run through	1
which countries do germany border	3
when was the last time the new england patriots won the superbowl	1
where did michael jordan play high school basketball	3
what state did thomas jefferson live in	3
what sports are played in canada	0
what highschool did bill gates graduated from	3
what states does the missouri river touch	1
where did lee corso go to college	3
what is the king of spain 's name	4
what is the second percy jackson book called	1
which country uses euro as its main currency	1
where does leland chapman live now	2
who was mary 's mother	1
what kourtney kardashian name her daughter	1
what type of cancer did huell howser die of	1
what team did kobe bryant play for first	2
what is phoebe halliwell 's real name	2
what movies has scarlett johansson in	2
when was the last time the kansas city chiefs won a superbowl	1
what college did james franco go to	3
who plays sam in anger management	4
where was the gettysburg war located	0
where is colombia the country	0
what team did mike piazza retire with	4
where did pres clinton go to college	3
what countries are in the baltic region	1
where is st louis cardinals stadium	1
who was phil harris married to	4
what countries speak spanish wikipedia	0
who is andy williams brother	3
what did robert hooke discover	0
what are west african countries	1
what cancer did audrey hepburn died of	1
where did nick clegg go to prep school	3
what character did liv tyler play in lord of the rings	4
who does paul walker play in fast and furious	4
where did marco rubio go to college	3
who does cristiano ronaldo play for now 2011	2
what movie queen latifah play in	2
what kind of guitar does jemaine clement play	1
what middle school did barack obama attend	3
what year did allen iverson get married	2
where does dr. sanjay gupta practice	3
where does selena gomez live right now 2010	2
what are the biggest cities in illinois	1
who did lamar odom sign with	4
where did brad paisley graduate from college	3
what is the biggest country in europe by population	1
what countries are around egypt	3
who was francis drake married to	4
what are romney 's sons names	1
what college did florence griffith joyner attend	3
what country is the iberian peninsula located in	3
what year did tut became king	2
who was the members of blackstreet	2
what countries do germany border	3
where is universal studios california theme park	1
what is the president of brazil	4
where did will smith go to high school	3
who was the president of indian national congress	4
what are major religions in the united states	2
what did shawnee smith play in	2
what form of government do we have in the usa	0
who are the two state senators of georgia	4
what cities does ryanair fly to	2
what is the legislature of missouri called	0
who the voice of peter griffin	4
what college did magic johnson go to	3
who play luke skywalker	2
who is angelina jolie 's husband	4
which countries do germany border	3
who was the winner of the 2009 nobel peace prize	2
when did herbert hoover become president	4
what year did steve nash play for the mavericks	4
who has the voice of stewie griffin	4
what year did lamar odom play for the clippers	4
who played lex luthor in the original superman	4
where does lala anthony live	2
in which country is mount everest found	1
what band did joe satriani play in	2
what movies has renee zellweger been in	2
who plays lois griffin in family guy	4
what movies is molly ringwald in	2
what state did al gore represent	3
where is ellis park rugby stadium	1
what college did kevjumba	3
what movies does matt damon play in	2
what episode does eric northman come in	2
what college did joe namath go to	3
what college chris paul go to	3
who played princess leia in star wars movies	2
what city has the largest population in mexico	1
which four states touch mexico	3
what university did donald trump graduate from	4
who did president kennedy marry	4
where did president kennedy go to school	2
who is married to garry trudeau	4
which three countries share a land border with cambodia	3
what college did steve jobs attend	3
where did president eisenhower go to college	3
what airport do you fly into maui	1
what does latin america consist of	1
who is chris cooley married to	4
who the voice of peter griffin	4
when was gardasil released to the public	2
where do you fly into for destin	3
where is san miguel mexico on map	1
who is raquel welch 's daughter	1
what college did charles richard drew go to	3
who will play clary in city of bones	4
what is the state flag of colorado called	2
who played as barney	4
what is the name of justin bieber brother	3
where did caroline kennedy go to school	2
what year was michael jordan rookie year	2
when is the last time the raiders won a championship	1
where did robert hooke get his education	2
what years did andrew jackson run for president	0
what three countries does mexico border	3
what high school did tim allen go to	3
who is the elected governor of california	4
where was gabriel faure born	0
what did mozart do to become famous	0
who did george wendt play on cheers	4
what highschool did khloe kardashian go to	3
what all countries are in south america	1
who was the leader of the soviet union in 1945	4
what brand of guitar does steve vai play	1
where is san miguel mexico on map	1
what is the name of the main train station in san francisco	4
what are the name of mitt romney sons	1
who is angelina jolie husband name	4
what other countries share a border with china	3
what book did charles darwin write on evolution	1
who is steven seagal sister	3
who did aaron rodgers play college football 4	2
where the queen of denmark lives	2
what is julia gillard party	2
what teams did manny ramirez play for	2
what college did ron jaworski go to	3
who is playing bilbo in the hobbit movie	4
what other countries share a border with china	3
how much indiana jones movies are there	3
what year did the houston rockets win their first championship	1
what kind of insurance does geico offer	0
who won governor race in indiana	4
which countries border lake victoria	3
into what language family does english fall	0
what kourtney kardashian baby girls name	1
which country uses euro as its main currency	1
who was ishmael 's mom	1
what shows did kellie martin star in	2
what did writers of the harlem renaissance write about	1
who did wayne gretzky play 4	2
what kind of guitar does jemaine clement play	1
who was king george v father	1
what was the name of tecumseh brother	3
what book did charles darwin write on evolution	1
which states does the connecticut river flow through	1
what team did albert pujols play for	2
what teams drafted the morris twins	4
what war was george washington president during	2
what colleges did alice walker attend	3
what basketball team does kris humphrey play for	2
where is ellis park rugby stadium	1
where jay z was raised	0
who does tim howard play for club	2
what language do they speak brazil	0
who is the president of ecuador in 2012	4
what 6 states border south dakota	3
who was josh groban in crazy stupid love	4
what was omar epps first movie	3
who is andy williams brother	3
what is charlie sheen 's dad 's name	1
what does obama have a degree in	2
what did florence sabin do	0
what is charlie sheen 's dad 's name	1
what did randy jackson play in journey	4
when was the last dallas cowboys super bowl win	1
how many teams are there in the ncaa football	3
who did tupac shakur date	2
what airport does southwest fly to in denver	3
where did joe montana go to high school	3
who did james franco play on general hospital	4
where does manny pacquiao live	2
where is the sistine chapel by michelangelo	1
what year did michael jordan started his career	2
what college did ron jaworski go to	3
who plays jacob black in the twilight movies	4
in what city did machiavelli live	3
who plays young john winchester in supernatural	4
who was ishmael 's mom	1
where is the sistine chapel by michelangelo	1
which states touch canadian soil	3
who does michael vick play for	2
which three countries share a land border with cambodia	3
when was the last superbowl win for the steelers	1
where did isaac newton go to high school	3
when is the last time chicago bulls won a championship	1
who is the voice of family guys meg griffin	4
where is danish located	0
who is kobe bryant wife bio	4
